timeStep pedestrianId overlapPedestrianId distance overlaps
2 16 106 0.38184978778053286 0.008150212219467157
2 23 49 0.3852702165442555 0.004729783455744541
2 51 90 0.38170631045648873 0.008293689543511285
2 57 75 0.37968865232507054 0.010311347674929472
2 62 95 0.3776926646969762 0.012307335303023803
2 67 71 0.3883679460197918 0.0016320539802082146
2 67 90 0.38021834739799015 0.00978165260200986
2 69 72 0.3847922797737802 0.005207720226219792
2 100 110 0.38690497586857403 0.003095024131425983
3 16 106 0.38184978778053286 0.008150212219467157
3 23 49 0.3852702165442555 0.004729783455744541
3 51 90 0.38170631045648873 0.008293689543511285
3 57 75 0.37968865232507054 0.010311347674929472
3 62 95 0.3776926646969762 0.012307335303023803
3 67 71 0.3883679460197918 0.0016320539802082146
3 67 90 0.38021834739799015 0.00978165260200986
3 69 72 0.3847922797737802 0.005207720226219792
3 82 116 0.38812816764818475 0.0018718323518152613
3 100 110 0.38690497586857403 0.003095024131425983
4 24 33 0.384405414828327 0.005594585171672994
4 62 71 0.3839736482816663 0.006026351718333711
5 3 44 0.385431317020654 0.004568682979346039
5 10 14 0.38731171397690206 0.002688286023097952
5 62 71 0.3839736482816663 0.006026351718333711
5 76 100 0.3877166686436343 0.0022833313563657143
6 1 47 0.3881377538702308 0.0018622461297692072
6 10 44 0.3825596610561436 0.007440338943856428
6 51 90 0.38819312163046155 0.0018068783695384671
6 75 122 0.3840300358852788 0.005969964114721227
6 76 100 0.3877166686436343 0.0022833313563657143
7 10 44 0.3825596610561436 0.007440338943856428
7 60 90 0.3839247641280742 0.0060752358719258215
7 75 122 0.3840300358852788 0.005969964114721227
7 76 100 0.3877166686436343 0.0022833313563657143
7 90 95 0.38441303549071815 0.0055869645092818665
8 10 44 0.3825596610561436 0.007440338943856428
8 76 100 0.3877166686436343 0.0022833313563657143
9 76 100 0.3877166686436343 0.0022833313563657143
9 92 101 0.3856590376244216 0.0043409623755784055
10 28 105 0.38983250544548453 1.6749455451547934E-4
10 76 100 0.3877166686436343 0.0022833313563657143
11 10 28 0.38528046772305935 0.004719532276940663
13 27 30 0.3822041677496894 0.007795832250310608
13 51 90 0.3870060440317108 0.002993955968289219
14 51 90 0.3870060440317108 0.002993955968289219
14 54 123 0.3800740585678619 0.009925941432138097
15 26 49 0.386313191786287 0.003686808213713033
15 54 123 0.38582123886932745 0.004178761130672559
20 25 49 0.3894399266415135 5.600733584865125E-4
20 69 77 0.38538779806593243 0.0046122019340675835
21 77 107 0.38839824527531813 0.0016017547246818808
22 27 47 0.3833929177702788 0.006607082229721228
24 30 47 0.3825622639521767 0.007437736047823329
26 3 26 0.38015797747880425 0.009842022521195759
26 3 34 0.383992950563288 0.0060070494367119864
27 26 124 0.3837729481161466 0.006227051883853418
29 61 71 0.3828533505533023 0.007146649446697739
29 72 89 0.3868967208213701 0.003103279178629903
30 32 124 0.38749607011395515 0.0025039298860448644
30 71 75 0.3847128461004867 0.005287153899513286
30 72 89 0.3868967208213701 0.003103279178629903
31 46 124 0.38343524899449444 0.006564751005505576
31 71 75 0.3847128461004867 0.005287153899513286
31 124 125 0.38755280534197317 0.002447194658026841
33 123 130 0.3833330006959801 0.006666999304019927
34 123 130 0.3833330006959801 0.006666999304019927
35 111 119 0.3840768444493874 0.005923155550612624
36 2 114 0.38280802967937516 0.007191970320624852
36 111 119 0.3840768444493874 0.005923155550612624
38 15 114 0.38112698510802434 0.008873014891975672
45 33 113 0.3841096872404971 0.005890312759502914
63 50 59 0.3865375290081736 0.003462470991826394
67 80 110 0.38840689894410235 0.001593101055897661
67 85 110 0.3898577246469428 1.422753530572196E-4
